schema_version,team_id,organization_id,team_name,product_ids,team_geography,status,confidence,evidence_ids,version
agent-hiring-map-public/1.0,TEAM-054F4BEDCF023305,ORG-1236323724701EB7,Baidu Commercial Agent Infrastructure / MEG,"[""PROD-FD39C46617EC6A08""]","[""China""]",active,1.0,"[""AMC-3473""]",1
agent-hiring-map-public/1.0,TEAM-055002F8FDC27AE7,ORG-738749484A4C1062,Tencent ClawPet,"[""PROD-5BFD323E438E772B""]","[""China""]",active,1.0,"[""AMC-0693""]",1
agent-hiring-map-public/1.0,TEAM-05543D62979F53C6,ORG-968BAF2518A3C381,上海非凸智能科技有限公司 / FTShare,"[""PROD-7D82F0FA4094D171""]","[""China""]",active,0.9,"[""AMC-6720""]",1
agent-hiring-map-public/1.0,TEAM-0556AF919CD35FB6,ORG-62AED540AB55FFAF,RubikSQL,"[""PROD-93265CFCB81B144D""]","[""China""]",active,0.9,"[""AMC-6818""]",1
agent-hiring-map-public/1.0,TEAM-0570EFB16C89960D,ORG-3B8514913D518B62,"Chengdu RockBase Technology Co., Ltd.","[""PROD-D1C2A16752692BB1""]","[""China""]",active,0.9,"[""AMC-6423""]",1
agent-hiring-map-public/1.0,TEAM-05B8CB7A0B503CD6,ORG-9B54FAE16F887B60,Womble Bond Dickinson,"[""PROD-D8C6DA3F5A5CDBE2""]","[""United States""]",active,0.9,"[""AMC-7208""]",1
agent-hiring-map-public/1.0,TEAM-05FC474D88D0048A,ORG-6C24D5F6930B29BC,Alibaba Cloud Data Agent,"[""PROD-84496037ABDAEFA1""]","[""China""]",active,1.0,"[""AMC-1496""]",1
agent-hiring-map-public/1.0,TEAM-05FDF0F0759F0D85,ORG-510EC2556DB956B2,PulsePoint,"[""PROD-DAFAEA581CE9CBBC""]","[""United States""]",active,0.9,"[""AMC-7116""]",1
agent-hiring-map-public/1.0,TEAM-062289DCA8646379,ORG-DC59C0B214125974,长沙小艾引擎科技有限公司 / 小A引擎,"[""PROD-E0ABE8E1E163288F""]","[""China""]",active,0.9,"[""AMC-6622""]",1
agent-hiring-map-public/1.0,TEAM-063DE3F3BDDCC7D1,ORG-C6E5415D313D5D03,Mor Furniture For Less Inc.,"[""PROD-D83274E225ACE489""]","[""United States""]",active,0.9,"[""AMC-6489""]",1
agent-hiring-map-public/1.0,TEAM-0678B1CFC492202E,ORG-89F37B39CFBE1DAE,SIMIAIOS / 龙虾手机,"[""PROD-B12BFF264F26B5D8""]","[""China""]",active,0.9,"[""AMC-3792""]",1
agent-hiring-map-public/1.0,TEAM-0689B47C9AD089BE,ORG-272094DAA269C062,Cherry Bekaert,"[""PROD-A706EEAC3F14D7B3""]","[""United States""]",active,0.9,"[""AMC-6485""]",1
agent-hiring-map-public/1.0,TEAM-06AEE371DA7F0C37,ORG-D4CD571B6FA5EA32,Orbis Operations,"[""PROD-D69DEDB02E49244D""]","[""United States""]",active,0.9,"[""AMC-6951""]",1
agent-hiring-map-public/1.0,TEAM-06BF6F337924443D,ORG-AFF0B9B1F6A8B2D7,Optum Tech,"[""PROD-3E142FCAF08ED669""]","[""United States""]",active,1.0,"[""AMC-6688""]",1
agent-hiring-map-public/1.0,TEAM-0723C20DE6604F55,ORG-860714C7AB84DB77,环信 AI 客服,"[""PROD-8CD9922E402C88C8""]","[""China""]",active,0.9,"[""AMC-0062""]",1
agent-hiring-map-public/1.0,TEAM-0772C884A728885D,ORG-864AC0A6C16CA345,Trase Systems,"[""PROD-CE6B28713FA843BB""]","[""United States""]",active,0.9,"[""AMC-7151""]",1
agent-hiring-map-public/1.0,TEAM-078D350AC1E55D2B,ORG-61FF26299885EEDA,ByteDance safety/risk-control,"[""PROD-AB8156BAC7CC46FF""]","[""China""]",active,1.0,"[""AMC-0690""]",1
agent-hiring-map-public/1.0,TEAM-07A1D6FC12E20F1F,ORG-24EDE5303C539CAC,MAREF / maref-org,"[""PROD-B4EBD437CAB9876C""]","[""China""]",active,0.9,"[""AMC-6980""]",1
agent-hiring-map-public/1.0,TEAM-07D6E54032BD3E9B,ORG-DCABC6765C4B22E2,Create.xyz / Anything,"[""PROD-964590195A7742F0""]","[""United States""]",active,1.0,"[""AMC-0321""]",1
agent-hiring-map-public/1.0,TEAM-07E0FD9DE8704B5B,ORG-C5FF1E1333C4B32B,上海振华重工（集团）股份有限公司 / ZPMC,"[""PROD-06E19A3A66E4110C""]","[""China""]",active,1.0,"[""AMC-6970""]",1
agent-hiring-map-public/1.0,TEAM-0804BBE9293B487E,ORG-4534C05BE9CFDFD9,上海英方软件股份有限公司 / Info2Soft,"[""PROD-029535A5482D5627""]","[""China""]",active,0.9,"[""AMC-6632""]",1
agent-hiring-map-public/1.0,TEAM-080ABC34F0B3E9A8,ORG-A8681F0C896B382F,数据智能与可视化课题组 / 人类细胞谱系大科学研究设施,"[""PROD-DF103FC1BC6D4E08""]","[""China""]",active,1.0,"[""AMC-6586""]",1
agent-hiring-map-public/1.0,TEAM-0836C08769F5BFE8,ORG-6609FB0E6626FCC9,Xiaomi Auto / 小米汽车,"[""PROD-AF4803C0B828B3A6""]","[""China""]",active,1.0,"[""AMC-7126""]",1
agent-hiring-map-public/1.0,TEAM-085CF1D5BF408EA0,ORG-13E33D91B64DDA5E,Google,"[""PROD-005D2389F79C4803"",""PROD-30FEAFA9F57FA899"",""PROD-480B2199378F1F57"",""PROD-6160D56F3FF1D105""]","[""United States""]",active,1.0,"[""AMC-0573"",""AMC-0574"",""AMC-0575"",""AMC-0576""]",1
agent-hiring-map-public/1.0,TEAM-08E0D7FD431A9FF6,ORG-22531324124A9C4B,Commercial Bank of California,"[""PROD-CD5FFA390CEA60F0""]","[""United States""]",active,0.9,"[""AMC-6545""]",1
agent-hiring-map-public/1.0,TEAM-08F3405B01EBFD89,ORG-237073FA7B8F57C9,湖南大学金敏团队,"[""PROD-8D22C57FF1F0C352""]","[""China""]",active,1.0,"[""AMC-6623""]",1
agent-hiring-map-public/1.0,TEAM-08F8201B96D6A77E,ORG-059DE9E378B386E2,Parloa,"[""PROD-6E99CA1F2294AA92"",""PROD-BE5002700F62B624"",""PROD-D7F774C9ACBEB2A9""]","[""United States""]",active,1.0,"[""AMC-1801"",""AMC-1808"",""AMC-1810""]",1
agent-hiring-map-public/1.0,TEAM-0938544CB90CF5CB,ORG-D3E42DE502AAE6FD,Super.com,"[""PROD-2DFBB20EDD748626""]","[""United States""]",active,0.9,"[""AMC-6324""]",1
agent-hiring-map-public/1.0,TEAM-09762ED30A6CD9C7,ORG-778F2EB74B796FCE,China Unicom AI / 中国联通人工智能创新中心,"[""PROD-CAA89BB4B487DEEA""]","[""China""]",active,1.0,"[""AMC-6351""]",1
