schema_version,organization_id,canonical_name,group_id,official_domains,geography,aliases,status,confidence,evidence_ids,version
agent-hiring-map-public/1.0,ORG-4739F129051EBD3D,Uniphore Technologies North America Inc,null,"[""uniphore.com""]","[""United States""]","[""Uniphore""]",active,1.0,"[""AMC-1367"",""AMC-1368"",""AMC-1371"",""AMC-1372"",""AMC-1373"",""AMC-1374""]",1
agent-hiring-map-public/1.0,ORG-473BD51716F9B062,Charles River Associates,null,"[""crai.com""]","[""United States""]","[""Charles River Associates""]",active,0.9,"[""AMC-7192""]",1
agent-hiring-map-public/1.0,ORG-479F11922E83E92A,Halluminate,null,"[""halluminate.ai""]","[""United States""]","[""Halluminate""]",active,0.9,"[""AMC-6965""]",1
agent-hiring-map-public/1.0,ORG-47FE054AD6DE7FFA,sre-agents,null,"[""github.com""]","[""China""]","[""sre-agents""]",active,0.9,"[""AMC-6756""]",1
agent-hiring-map-public/1.0,ORG-4802773EC09232D1,Sail Research,null,"[""sailresearch.com""]","[""United States""]","[""Sail Research""]",active,0.9,"[""AMC-6386""]",1
agent-hiring-map-public/1.0,ORG-4818C1881A7D39ED,Peking University,null,"[""hr.pku.edu.cn"",""rsc.bjmu.edu.cn""]","[""China""]","[""Peking University Health Science Center / 北京大学医学部"",""Peking University Institute of Artificial Intelligence / 北京大学人工智能研究院""]",active,1.0,"[""AMC-6346"",""AMC-6347""]",1
agent-hiring-map-public/1.0,ORG-483CEF00FA20FA79,中国卫星网络集团有限公司,null,"[""cscnrczp.zhiye.com""]","[""China""]","[""中国星网数字科技有限公司""]",active,1.0,"[""AMC-6886""]",1
agent-hiring-map-public/1.0,ORG-487FD528D48FD410,Arden,null,"[""ardentech.ai""]","[""United States""]","[""Arden""]",active,0.9,"[""AMC-7072""]",1
agent-hiring-map-public/1.0,ORG-489A7BD05AF8BFEF,上海创智学院,null,"[""sii-czxy.jobs.feishu.cn""]","[""China""]","[""上海创智学院""]",active,0.9,"[""AMC-6767""]",1
agent-hiring-map-public/1.0,ORG-48B1AD0FEAC352B3,Skit.ai,null,"[""skit.ai""]","[""United States""]","[""Skit.ai""]",active,0.9,"[""AMC-1387"",""AMC-1388"",""AMC-1389"",""AMC-1390"",""AMC-1391"",""AMC-1392"",""AMC-1393"",""AMC-1394""]",1
agent-hiring-map-public/1.0,ORG-48EA1E997C49AB05,七牛云 / Qiniu Cloud,null,"[""qiniuxz.zhiye.com""]","[""China""]","[""七牛云 / Qiniu Cloud""]",active,0.9,"[""AMC-6779""]",1
agent-hiring-map-public/1.0,ORG-494F798BCEFDBE80,Rokid,null,"[""rokid.zhiye.com""]","[""China""]","[""Rokid""]",active,0.9,"[""AMC-6616""]",1
agent-hiring-map-public/1.0,ORG-49507273B64DCB4A,北京京橙创意网络科技有限公司 / 京橙科技,null,"[""jc2006.com""]","[""China""]","[""北京京橙创意网络科技有限公司 / 京橙科技""]",active,0.9,"[""AMC-7000""]",1
agent-hiring-map-public/1.0,ORG-499F59F89E4C5C09,北京博雅睿视科技有限公司 / Realscene,null,"[""realscene.cn""]","[""China""]","[""北京博雅睿视科技有限公司 / Realscene""]",active,0.9,"[""AMC-7062""]",1
agent-hiring-map-public/1.0,ORG-49FF2D583707B506,Promptless,null,"[""promptless.ai""]","[""United States""]","[""Promptless""]",active,0.9,"[""AMC-6360""]",1
agent-hiring-map-public/1.0,ORG-4A10F1F16274C093,Desay SV / 惠州市德赛西威汽车电子股份有限公司,null,"[""desaysv.com""]","[""China""]","[""Desay SV / 惠州市德赛西威汽车电子股份有限公司""]",active,0.9,"[""AMC-1408"",""AMC-4802"",""AMC-4803"",""AMC-4804"",""AMC-4805""]",1
agent-hiring-map-public/1.0,ORG-4A43553466C883A7,Fitten Code,null,"[""code.fittentech.com""]","[""China""]","[""Fitten Code""]",active,0.9,"[""AMC-0009""]",1
agent-hiring-map-public/1.0,ORG-4A72002EF7947BA9,季华实验室 / Ji Hua Laboratory,null,"[""jihualab.com""]","[""China""]","[""季华实验室 / Ji Hua Laboratory""]",active,0.9,"[""AMC-6843""]",1
agent-hiring-map-public/1.0,ORG-4A94D61F00960BF1,Orkes,null,"[""orkes.io""]","[""United States""]","[""Orkes""]",active,1.0,"[""AMC-1782""]",1
agent-hiring-map-public/1.0,ORG-4AB34B0D7D3A9AFC,Revnu,null,"[""revnu.com""]","[""United States""]","[""Revnu""]",active,0.9,"[""AMC-7017""]",1
agent-hiring-map-public/1.0,ORG-4AB3DA1C346EF64A,ego / Ego AI,null,"[""egoai.com""]","[""United States""]","[""ego / Ego AI""]",active,0.9,"[""AMC-6716""]",1
agent-hiring-map-public/1.0,ORG-4B591A034617C2D7,Chengdu Aircraft Design and Research Institute / 成都飞机设计研究所,null,"[""611.zhiye.com""]","[""China""]","[""Chengdu Aircraft Design and Research Institute / 成都飞机设计研究所""]",active,0.9,"[""AMC-6336""]",1
agent-hiring-map-public/1.0,ORG-4B805C43CB85902A,Sevoniva,null,"[""sevoniva.com""]","[""China""]","[""Sevoniva""]",active,0.9,"[""AMC-6540""]",1
agent-hiring-map-public/1.0,ORG-4BD0B11D8A6A9B06,Booz Allen Hamilton,null,"[""boozallen.com""]","[""United States""]","[""Booz Allen Hamilton""]",active,0.9,"[""AMC-6938""]",1
agent-hiring-map-public/1.0,ORG-4BDBEE33C788659E,MochaCare,null,"[""mochacare.com""]","[""United States""]","[""MochaCare""]",active,0.9,"[""AMC-6882""]",1
agent-hiring-map-public/1.0,ORG-4BF9DD96A0D43538,Navy Federal Credit Union,null,"[""jobs.navyfederal.org""]","[""United States""]","[""Navy Federal Credit Union""]",active,0.9,"[""AMC-7084""]",1
agent-hiring-map-public/1.0,ORG-4C18F6F39C82735E,ProfitSolv,null,"[""profitsolv.com""]","[""United States""]","[""ProfitSolv""]",active,0.9,"[""AMC-6875""]",1
agent-hiring-map-public/1.0,ORG-4C89E3291619CC9F,江西省金融控股集团有限公司,null,"[""jxfhgc.com""]","[""China""]","[""江西省金控科技产业集团有限公司 / 金信数科公司""]",active,1.0,"[""AMC-6641""]",1
agent-hiring-map-public/1.0,ORG-4CE301C5C39A6D96,Discovered Materials,null,"[""discoveredmaterials.com""]","[""United States""]","[""Discovered Materials""]",active,0.9,"[""AMC-6945""]",1
agent-hiring-map-public/1.0,ORG-4D0A09E9B182744F,Tsenta,null,"[""tsenta.com""]","[""United States""]","[""Tsenta""]",active,0.9,"[""AMC-1444""]",1
agent-hiring-map-public/1.0,ORG-4D62F8FAE6CB1CEE,FIT2CLOUD 飞致云,null,"[""maxkb.cn""]","[""China""]","[""MaxKB""]",active,1.0,"[""AMC-0015""]",1
agent-hiring-map-public/1.0,ORG-4D9DD85AC2CBA877,HappyRobot,null,"[""jobs.ashbyhq.com""]","[""United States""]","[""HappyRobot""]",active,0.9,"[""AMC-5636"",""AMC-5638"",""AMC-5642"",""AMC-5643"",""AMC-5644"",""AMC-5645"",""AMC-5646""]",1
agent-hiring-map-public/1.0,ORG-4DBEDC59415D9254,World Bank Group,null,"[""worldbank.org""]","[""United States""]","[""World Bank Group""]",active,0.9,"[""AMC-7086""]",1
agent-hiring-map-public/1.0,ORG-4DC7A92661D3511A,"Alteryx, Inc.",null,"[""alteryx.com""]","[""United States""]","[""Alteryx, Inc.""]",active,0.9,"[""AMC-6639""]",1
agent-hiring-map-public/1.0,ORG-4DEFE83553D40AB1,OrcaKIT AI / OrcaAgent-AI,null,"[""github.com""]","[""China""]","[""OrcaKIT AI / OrcaAgent-AI""]",active,0.9,"[""AMC-6949""]",1
agent-hiring-map-public/1.0,ORG-4DF9B4215C3C69D4,南京伊克罗德信息科技有限公司,null,"[""ecloudrover.com""]","[""China""]","[""南京伊克罗德信息科技有限公司""]",active,0.9,"[""AMC-6449""]",1
agent-hiring-map-public/1.0,ORG-4E630C0112123332,Nex,null,"[""nex.ai""]","[""United States""]","[""Nex""]",active,0.9,"[""AMC-7181""]",1
agent-hiring-map-public/1.0,ORG-4E8A644B63E2DD47,Genpact,null,"[""jobs.jobvite.com""]","[""United States""]","[""Genpact Experience""]",active,1.0,"[""AMC-6402""]",1
agent-hiring-map-public/1.0,ORG-4E8C9A95DB61128D,Tiger Analytics Inc.,null,"[""tigeranalytics.com""]","[""United States""]","[""Tiger Analytics Inc.""]",active,0.9,"[""AMC-6441""]",1
agent-hiring-map-public/1.0,ORG-4E943E4A3C7613AD,THU-MAIC / OpenMAIC,null,"[""github.com""]","[""China""]","[""THU-MAIC / OpenMAIC""]",active,0.9,"[""AMC-5087""]",1
agent-hiring-map-public/1.0,ORG-4EB09379D28C4430,Chasi,null,"[""chasi.ai""]","[""United States""]","[""Chasi""]",active,0.9,"[""AMC-6647""]",1
agent-hiring-map-public/1.0,ORG-4ECAC3014F2DAF7A,北京奇奇科技有限公司 / Qiqi Technology,null,"[""qiqikeji.com""]","[""China""]","[""北京奇奇科技有限公司 / Qiqi Technology""]",active,0.9,"[""AMC-6704""]",1
agent-hiring-map-public/1.0,ORG-4EECB3F27372950C,"Epic Games, Inc.",null,"[""epicgames.com""]","[""United States""]","[""Epic Games, Inc.""]",active,0.9,"[""AMC-6581""]",1
agent-hiring-map-public/1.0,ORG-4F0C86459FDC3F94,arnata,null,"[""arnata.com""]","[""United States""]","[""arnata""]",active,0.9,"[""AMC-7131""]",1
agent-hiring-map-public/1.0,ORG-4F425E02ADAFCF40,"Valiant Harbor International, LLC",null,"[""valiantharbor.com""]","[""United States""]","[""Valiant Harbor International, LLC""]",active,0.9,"[""AMC-6876""]",1
agent-hiring-map-public/1.0,ORG-4F556EFBE75B6B56,HeyGen,null,"[""heygen.com""]","[""United States""]","[""HeyGen""]",active,0.9,"[""AMC-6638""]",1
agent-hiring-map-public/1.0,ORG-4F8FCC603C9D77B9,Pilotcrew AI,null,"[""pilotcrew.ai""]","[""United States""]","[""Pilotcrew AI""]",active,0.9,"[""AMC-6802""]",1
agent-hiring-map-public/1.0,ORG-4FA79D97AEB94D58,"forgd, inc.",null,"[""forgd.ai""]","[""United States""]","[""forgd, inc.""]",active,0.9,"[""AMC-6416""]",1
agent-hiring-map-public/1.0,ORG-4FCADF0330DD4FC1,Komodo Health,null,"[""komodohealth.com""]","[""United States""]","[""Komodo Health""]",active,0.9,"[""AMC-6582""]",1
agent-hiring-map-public/1.0,ORG-4FED8976F78E53ED,重庆通用人工智能研究院,null,"[""cigai.ai""]","[""China""]","[""重庆通用人工智能研究院""]",active,0.9,"[""AMC-6578""]",1
agent-hiring-map-public/1.0,ORG-501EEDBBEBDD71BB,浙江大学医学院附属第一医院,null,"[""zy91.com""]","[""China""]","[""浙江大学医学院附属第一医院医学人工智能研究与转化平台""]",active,1.0,"[""AMC-6526""]",1
agent-hiring-map-public/1.0,ORG-506D062366DC1CC1,The Paper Store,null,"[""paycomonline.net""]","[""United States""]","[""The Paper Store""]",active,0.9,"[""AMC-6911""]",1
agent-hiring-map-public/1.0,ORG-510EC2556DB956B2,PulsePoint,null,"[""pulsepoint.com""]","[""United States""]","[""PulsePoint""]",active,0.9,"[""AMC-7116""]",1
agent-hiring-map-public/1.0,ORG-511B6AE5F1A26920,Vehlo,null,"[""paycomonline.net""]","[""United States""]","[""Vehlo""]",active,0.9,"[""AMC-6914""]",1
agent-hiring-map-public/1.0,ORG-513241526DD222FF,Harvard University,null,"[""careers.harvard.edu""]","[""United States""]","[""Harvard University""]",active,0.9,"[""AMC-6403""]",1
agent-hiring-map-public/1.0,ORG-514507CE85307994,湖南中南智能装备有限公司 / Hunan Zhongnan Intelligent Equipment,null,"[""hnznzn.com""]","[""China""]","[""湖南中南智能装备有限公司 / Hunan Zhongnan Intelligent Equipment""]",active,0.9,"[""AMC-6806""]",1
agent-hiring-map-public/1.0,ORG-51B1A6B79FD6B007,Didatravel International Limited,null,"[""dida.com""]","[""China""]","[""DIDA-AI / Dida Hotel MCP""]",active,1.0,"[""AMC-3538""]",1
agent-hiring-map-public/1.0,ORG-51BC4B1D703A7050,Truity Credit Union,null,"[""truitycu.hrmdirect.com""]","[""United States""]","[""Truity Credit Union""]",active,0.9,"[""AMC-6955""]",1
agent-hiring-map-public/1.0,ORG-51CD7ADFA2095245,Autostep,null,"[""autostep.ai""]","[""United States""]","[""Autostep""]",active,0.9,"[""AMC-7023""]",1
agent-hiring-map-public/1.0,ORG-520BC7F5C7F43846,Proximitty,null,"[""proximitty.ai""]","[""United States""]","[""Proximitty""]",active,0.9,"[""AMC-6648""]",1
agent-hiring-map-public/1.0,ORG-5297A871CC713489,Alaro,null,"[""alaro.ai""]","[""United States""]","[""Alaro""]",active,0.9,"[""AMC-6529""]",1
agent-hiring-map-public/1.0,ORG-52DB714E041C75A4,Kinelo,null,"[""kinelo.com""]","[""United States""]","[""Kinelo""]",active,0.9,"[""AMC-6377""]",1
agent-hiring-map-public/1.0,ORG-52E7097D28772517,Phylo,null,"[""phylo.bio""]","[""United States""]","[""Phylo""]",active,0.9,"[""AMC-5995""]",1
agent-hiring-map-public/1.0,ORG-53644877AC3C9BAE,"Shanghai HiQ Smart Data Technology Co., Ltd. / 上海海科智慧数据科技有限公司",null,"[""hiq.earth""]","[""China""]","[""Shanghai HiQ Smart Data Technology Co., Ltd. / 上海海科智慧数据科技有限公司""]",active,0.9,"[""AMC-6541""]",1
agent-hiring-map-public/1.0,ORG-53A3C6F88C3F9E0C,科创苏州 / 苏小研,null,"[""weixin.sogou.com""]","[""China""]","[""科创苏州 / 苏小研""]",active,0.9,"[""AMC-3796""]",1
agent-hiring-map-public/1.0,ORG-546A07B08B7CACFD,Filevine,null,"[""www.filevine.com""]","[""United States""]","[""Filevine""]",active,0.9,"[""AMC-5717"",""AMC-5718"",""AMC-5719"",""AMC-5720"",""AMC-5721"",""AMC-5722"",""AMC-5723"",""AMC-5725"",""AMC-5726""]",1
agent-hiring-map-public/1.0,ORG-5473AB21E65945FD,Resorius / 리소리우스,null,"[""wowtale.net""]","[""United States""]","[""Resorius / 리소리우스""]",active,0.9,"[""AMC-6036""]",1
agent-hiring-map-public/1.0,ORG-54920E2565489045,CodeGeeX,null,"[""codegeex.cn""]","[""China""]","[""CodeGeeX""]",active,0.9,"[""AMC-0003""]",1
agent-hiring-map-public/1.0,ORG-54CC61D592996F92,Windward Consulting,null,"[""jobs.jobvite.com""]","[""United States""]","[""Windward Consulting""]",active,0.9,"[""AMC-7117""]",1
agent-hiring-map-public/1.0,ORG-555087E1FC2A2605,goodfin,null,"[""goodfin.com""]","[""United States""]","[""goodfin""]",active,0.9,"[""AMC-6811""]",1
agent-hiring-map-public/1.0,ORG-55BBD8F792EF3791,Poetiq,null,"[""jobs.ashbyhq.com"",""poetiq.ai""]","[""United States""]","[""Poetiq""]",active,0.9,"[""AMC-5991"",""AMC-6012"",""AMC-6013""]",1
agent-hiring-map-public/1.0,ORG-55D55E626DE4F7B6,CrewBeeLab,null,"[""crewbeelab.github.io""]","[""China""]","[""CrewBeeLab""]",active,0.9,"[""AMC-6723""]",1
agent-hiring-map-public/1.0,ORG-55ED8B419D94D797,Refactor,null,"[""refactor.co""]","[""United States""]","[""Refactor""]",active,0.9,"[""AMC-6969""]",1
agent-hiring-map-public/1.0,ORG-55F15AD0B6750719,美洽 AI 智能体,null,"[""meiqia.com""]","[""China""]","[""美洽 AI 智能体""]",active,0.9,"[""AMC-0074""]",1
agent-hiring-map-public/1.0,ORG-560E68A8E283E179,imcp / imcp.pro,null,"[""imcp.pro""]","[""China""]","[""imcp / imcp.pro""]",active,0.9,"[""AMC-6815""]",1
agent-hiring-map-public/1.0,ORG-564A2457473F6107,Titan AI,null,"[""titanbanking.ai""]","[""United States""]","[""Titan AI""]",active,0.9,"[""AMC-6537""]",1
agent-hiring-map-public/1.0,ORG-5671C7C51BAF8D54,Emergence AI,null,"[""emergence.ai""]","[""United States""]","[""Emergence AI""]",active,0.9,"[""AMC-7169""]",1
agent-hiring-map-public/1.0,ORG-56972E2A8C25F4AB,Fisher Phillips LLP,null,"[""fisherphillips.hrmdirect.com""]","[""United States""]","[""Fisher Phillips LLP""]",active,0.9,"[""AMC-6950""]",1
agent-hiring-map-public/1.0,ORG-569C9CB7B56381EE,深圳市明心数智科技有限公司 / Mingxin Digital Intelligence,null,"[""mingxinsk.com""]","[""China""]","[""深圳市明心数智科技有限公司 / Mingxin Digital Intelligence""]",active,0.9,"[""AMC-6700""]",1
agent-hiring-map-public/1.0,ORG-56C171AEF45CC2C9,润开鸿 / 鸿境,null,"[""weixin.sogou.com""]","[""China""]","[""润开鸿 / 鸿境""]",active,0.9,"[""AMC-3806""]",1
agent-hiring-map-public/1.0,ORG-570B5FE50BE83D56,Andera,null,"[""andera.ai""]","[""United States""]","[""Andera""]",active,0.9,"[""AMC-6378""]",1
agent-hiring-map-public/1.0,ORG-5794ED975C59D210,Constellation Software Inc.,null,"[""harriscomputer.wd3.myworkdayjobs.com""]","[""United States""]","[""Harris Computer""]",active,1.0,"[""AMC-6486""]",1
agent-hiring-map-public/1.0,ORG-57D9B7F801823535,中国科学院高能物理研究所,null,"[""ihep.cas.cn""]","[""China""]","[""天府宇宙线研究中心数字化团队""]",active,1.0,"[""AMC-6527""]",1
agent-hiring-map-public/1.0,ORG-57EFF4DC4F19F16C,GeminiLight / MindOS,null,"[""github.com""]","[""China""]","[""GeminiLight / MindOS""]",active,0.9,"[""AMC-5083""]",1
agent-hiring-map-public/1.0,ORG-587D7326DB74832D,The Travelers Indemnity Company,null,"[""travelers.com""]","[""United States""]","[""Travelers""]",active,1.0,"[""AMC-6898""]",1
